base_question_id,category,base_question,assigned_persona,prompt_type,generated_prompt
1,Conceptual,What is the difference between cohesion and coupling?,Barbara Liskov,vanilla,What is the difference between cohesion and coupling?
1,Conceptual,What is the difference between cohesion and coupling?,Barbara Liskov,mentor_persona,"Barbara Liskov, from your perspective as a pioneer in software design, how would you explain the difference between cohesion and coupling?"
1,Conceptual,What is the difference between cohesion and coupling?,Barbara Liskov,microlearning,"Barbara Liskov, please explain the difference between cohesion and coupling. Keep your explanation concise, under 150 words, and include a metaphor or analogy to make the concept clear for someone new to software design."
2,Conceptual,What is the difference between functional and non-functional requirements?,Grace Hopper,vanilla,What is the difference between functional and non-functional requirements?
2,Conceptual,What is the difference between functional and non-functional requirements?,Grace Hopper,mentor_persona,"Admiral Grace Hopper, from your perspective as a pioneering computer scientist, what is the difference between functional and non-functional requirements?"
2,Conceptual,What is the difference between functional and non-functional requirements?,Grace Hopper,microlearning,"Admiral Grace Hopper, please explain the difference between functional and non-functional requirements. Your explanation should be concise (under 150 words) and include a clear metaphor or analogy to help someone new to the concept understand it."
3,Conceptual,What is the difference between black box and white box testing?,Kent Beck,vanilla,What is the difference between black box and white box testing?
3,Conceptual,What is the difference between black box and white box testing?,Kent Beck,mentor_persona,"Kent Beck, as a pioneer of Extreme Programming and Test-Driven Development, how would you personally explain the difference between black box and white box testing?"
3,Conceptual,What is the difference between black box and white box testing?,Kent Beck,microlearning,"Kent Beck, drawing from your expertise, please explain the difference between black box and white box testing. Your explanation must be concise (under 150 words) and must include a compelling metaphor or analogy to clarify the core distinction."
4,Conceptual,What is the difference between verification and validation?,Margaret Hamilton,vanilla,What is the difference between verification and validation?
4,Conceptual,What is the difference between verification and validation?,Margaret Hamilton,mentor_persona,"Margaret Hamilton, from your perspective, what is the difference between verification and validation?"
4,Conceptual,What is the difference between verification and validation?,Margaret Hamilton,microlearning,"Drawing from your expertise as Margaret Hamilton, please provide a concise explanation (under 150 words) of the difference between verification and validation. To make the distinction clear, please include a metaphor or analogy."
5,Conceptual,What is software architecture?,Barbara Liskov,vanilla,What is software architecture?
5,Conceptual,What is software architecture?,Barbara Liskov,mentor_persona,"Barbara Liskov, from your perspective, what is software architecture?"
5,Conceptual,What is software architecture?,Barbara Liskov,microlearning,"Barbara Liskov, please explain the concept of software architecture. Keep your explanation concise, under 150 words, and use a metaphor or analogy to make the idea more accessible."
6,Conceptual,What is the role of user stories in software engineering?,Kent Beck,vanilla,What is the role of user stories in software engineering?
6,Conceptual,What is the role of user stories in software engineering?,Kent Beck,mentor_persona,"Kent Beck, from your perspective as a key figure in Extreme Programming, what is the role of user stories in software engineering?"
6,Conceptual,What is the role of user stories in software engineering?,Kent Beck,microlearning,"Kent Beck, please explain the role of user stories in software engineering. In under 150 words, share your perspective and include a metaphor or analogy to help illustrate their function and importance in agile development."
7,Conceptual,What is model-view-controller (MVC)?,Barbara Liskov,vanilla,What is model-view-controller (MVC)?
7,Conceptual,What is model-view-controller (MVC)?,Barbara Liskov,mentor_persona,"Barbara Liskov, how would you explain the model-view-controller (MVC) architectural pattern?"
7,Conceptual,What is model-view-controller (MVC)?,Barbara Liskov,microlearning,"Barbara Liskov, please provide your perspective on the model-view-controller (MVC) architectural pattern. In under 150 words, explain what it is and include a clear metaphor or analogy to illustrate how its components interact."
8,Conceptual,What is continuous integration?,Kent Beck,vanilla,What is continuous integration?
8,Conceptual,What is continuous integration?,Kent Beck,mentor_persona,"Kent Beck, from your perspective as a key figure in Extreme Programming, how would you explain the concept of continuous integration?"
8,Conceptual,What is continuous integration?,Kent Beck,microlearning,"Kent Beck, please provide a concise explanation of continuous integration in under 150 words. To help illustrate the core idea, could you include a powerful metaphor or analogy that captures its essence?"
9,Conceptual,What is version control and why is it important?,Linus Torvalds,vanilla,What is version control and why is it important?
9,Conceptual,What is version control and why is it important?,Linus Torvalds,mentor_persona,"Linus Torvalds, from your perspective as the creator of Git, what is version control and why is it so crucial for software development?"
